korak,razlicica,vrsta,kazalnik,vrednost,enota
D,delno_ocisceno,Agregat h=1 ar1,MASE,1.0077,
D,delno_ocisceno,Agregat h=1 lin,MAE_vs_naivni_pct,-197.9441,
D,delno_ocisceno,Agregat h=1 lin,MAE,5029.5993,
D,delno_ocisceno,Agregat h=1 lin,MASE,3.039,
D,delno_ocisceno,Agregat h=1 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Agregat h=1 naivni,MAE,1688.1017,
D,delno_ocisceno,Agregat h=1 naivni,MASE,1.0179,
D,delno_ocisceno,Agregat h=4 ar1,MAE_vs_naivni_pct,2.3085,
D,delno_ocisceno,Agregat h=4 ar1,MAE,3141.862,
D,delno_ocisceno,Agregat h=4 ar1,MASE,1.8896,
D,delno_ocisceno,Agregat h=4 lin,MAE_vs_naivni_pct,-68.7031,
D,delno_ocisceno,Agregat h=4 lin,MAE,5425.671,
D,delno_ocisceno,Agregat h=4 lin,MASE,3.2785,
D,delno_ocisceno,Agregat h=4 naivni,MAE_vs_naivni_pct,0.0,
D,delno_ocisceno,Agregat h=4 naivni,MAE,3216.1071,
D,delno_ocisceno,Agregat h=4 naivni,MASE,1.9362,
D,izhodiscna,Dermatološki pregled - prvi h=1 ar1,MAE_vs_naivni_pct,-3.7876,
D,izhodiscna,Dermatološki pregled - prvi h=1 ar1,MAE,295.0856,
D,izhodiscna,Dermatološki pregled - prvi h=1 ar1,MASE,1.2115,
D,izhodiscna,Dermatološki pregled - prvi h=1 lin,MAE_vs_naivni_pct,-322.824,
D,izhodiscna,Dermatološki pregled - prvi h=1 lin,MAE,1202.1591,
D,izhodiscna,Dermatološki pregled - prvi h=1 lin,MASE,4.7441,
D,izhodiscna,Dermatološki pregled - prvi h=1 naivni,MAE_vs_naivni_pct,0.0,
D,izhodiscna,Dermatološki pregled - prvi h=1 naivni,MAE,284.3167,
D,izhodiscna,Dermatološki pregled - prvi h=1 naivni,MASE,1.1799,
D,izhodiscna,Dermatološki pregled - prvi h=4 ar1,MAE_vs_naivni_pct,-8.1425,
D,izhodiscna,Dermatološki pregled - prvi h=4 ar1,MAE,576.4755,
D,izhodiscna,Dermatološki pregled - prvi h=4 ar1,MASE,2.3513,
D,izhodiscna,Dermatološki pregled - prvi h=4 lin,MAE_vs_naivni_pct,-161.3318,
D,izhodiscna,Dermatološki pregled - prvi h=4 lin,MAE,1393.0818,
D,izhodiscna,Dermatološki pregled - prvi h=4 lin,MASE,5.5525,
D,izhodiscna,Dermatološki pregled - prvi h=4 naivni,MAE_vs_naivni_pct,0.0,
D,izhodiscna,Dermatološki pregled - prvi h=4 naivni,MAE,533.0702,
D,izhodiscna,Dermatološki pregled - prvi h=4 naivni,MASE,2.2437,
D,izhodiscna,Kardiološki pregled - prvi h=1 ar1,MAE_vs_naivni_pct,-0.7233,
D,izhodiscna,Kardiološki pregled - prvi h=1 ar1,MAE,146.9218,
D,izhodiscna,Kardiološki pregled - prvi h=1 ar1,MASE,0.8507,
D,izhodiscna,Kardiološki pregled - prvi h=1 lin,MAE_vs_naivni_pct,-471.9434,
D,izhodiscna,Kardiološki pregled - prvi h=1 lin,MAE,834.2748,
D,izhodiscna,Kardiološki pregled - prvi h=1 lin,MASE,4.7264,
D,izhodiscna,Kardiološki pregled - prvi h=1 naivni,MAE_vs_naivni_pct,0.0,
D,izhodiscna,Kardiološki pregled - prvi h=1 naivni,MAE,145.8667,
D,izhodiscna,Kardiološki pregled - prvi h=1 naivni,MASE,0.846,
D,izhodiscna,Kardiološki pregled - prvi h=4 ar1,MAE_vs_naivni_pct,-1.9645,
D,izhodiscna,Kardiološki pregled - prvi h=4 ar1,MAE,377.0003,
D,izhodiscna,Kardiološki pregled - prvi h=4 ar1,MASE,2.1644,
D,izhodiscna,Kardiološki pregled - prvi h=4 lin,MAE_vs_naivni_pct,-154.7294,
D,izhodiscna,Kardiološki pregled - prvi h=4 lin,MAE,941.8283,
