vzs_sifra,vzs_naziv,cd_zelo_hitro,cd_hitro,cd_redno,cak_zelo_hitro,cak_hitro,cak_redno,cak_skupaj,n_tednov
1784,MR roke s KS,0.0,0.0,0.0,0.0089,0.0,0.0357,0.0,112
1785,MR kolka s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1786,MR kolena s KS,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1787,MR gležnja s KS,0.0,0.0,0.0,0.0,0.0,0.0089,0.0,112
1788,MR stopala s KS,0.0,0.0,0.0,0.0089,0.0,0.0,0.0,112
1789,MR skeleta s KS - drugo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1790,MR SIS (sakroliakalnega sklepa) s KS,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,112
1791,MR prsnega koša,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1792,MR trebušnih organov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1793,MR abdomna - drugo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1794,MR zgornjega abdomna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1795,MR medenice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1796,MR jeter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1797,MR dojke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1798,MR prsnega koša s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1799,MR trebušnih organov s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1800,MR abdomna s KS - drugo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1801,MR zgornjega abdomna s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1802,MR medenice s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1803,MR jeter s kontrastom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1804,MR dojke s KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1805,MRA možganskega žilja - arterije TOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1806,MRA možganskega žilja - vene TOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1807,MRA aorto - cervikalna TOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1808,MRA torakalne aorte TOF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1809,MRA abdominalne aorte TOF,0.0,0.0,0.0,0.0089,0.0268,0.0,0.0,112
1810,MRA pljučnih arterij TOF,0.0,0.0,0.0,0.7768,0.7768,0.7768,0.7768,112
1811,MRA pelvično žilje TOF,0.0,0.0,0.0,0.0179,0.0357,0.0268,0.0089,112
1812,MRA ekstremiteti ( vsaka okončina posebej ) TOF,0.0,0.0,0.0,0.0,0.0089,0.0268,0.0,112
1813,MRA renalno žilje TOF,0.0,0.0,0.0,0.1429,0.1339,0.1518,0.1339,112
1814,MRA TOF - drugo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1815,MRA možganskega žilja - arterije KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1816,MRA možganskega žilja - vene KS,0.0,0.0,0.0,0.0089,0.0,0.0268,0.0,112
1817,MRA aorto - cervikalna KS,0.0,0.0,0.0,0.0179,0.0,0.0,0.0,112
1818,MRA torakalne aorte KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
1819,MRA abdominalne aorte KS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112
